date,terminal_id,terminal_name,region,inbound_train_count,inbound_car_count,cars_on_hand,yard_occupancy_pct,crew_starts_available,locomotive_availability_pct,is_weekend,month,target_dwell_hours
2022-01-05,T08,Havre,North,6,116,318,79.5,10,89.4,0,1,18.5
2022-01-06,T01,Barstow,West,10,245,418,46.4,19,90.3,0,1,20.2
2022-01-06,T02,Alliance,Midwest,8,164,241,21.9,19,94.1,0,1,26.7
2022-01-06,T03,Galesburg,Midwest,7,148,262,34.9,11,97.5,0,1,30.0
2022-01-06,T04,Memphis,South,10,231,780,82.1,19,94.5,0,1,17.4
2022-01-06,T05,Kansas City,Midwest,10,245,716,59.7,24,97.5,0,1,21.2
2022-01-06,T06,Stockton,West,10,231,539,98.0,10,85.6,0,1,14.5
2022-01-06,T07,Amarillo,South,3,67,281,46.8,22,88.8,0,1,12.4
2022-01-06,T08,Havre,North,6,143,351,87.8,5,90.2,0,1,15.5
2022-01-07,T01,Barstow,West,6,120,265,29.4,18,87.6,0,1,22.1
2022-01-07,T02,Alliance,Midwest,18,516,523,47.5,19,84.5,0,1,17.8
2022-01-07,T03,Galesburg,Midwest,13,389,454,60.5,11,89.0,0,1,24.4
2022-01-07,T04,Memphis,South,6,122,705,74.2,18,93.7,0,1,26.7
2022-01-07,T05,Kansas City,Midwest,12,267,748,62.3,20,84.8,0,1,15.7
2022-01-07,T06,Stockton,West,7,154,483,87.8,15,89.8,0,1,17.5
2022-01-07,T07,Amarillo,South,3,44,244,40.7,14,95.6,0,1,19.9
2022-01-07,T08,Havre,North,5,100,320,80.0,9,93.0,0,1,16.8
2022-01-08,T01,Barstow,West,11,267,398,44.2,14,95.7,1,1,17.3
2022-01-08,T02,Alliance,Midwest,4,71,110,10.0,11,98.4,1,1,21.6
2022-01-08,T03,Galesburg,Midwest,7,207,257,34.3,9,87.1,1,1,29.1
2022-01-08,T04,Memphis,South,14,351,931,98.0,19,85.8,1,1,20.1
2022-01-08,T05,Kansas City,Midwest,9,215,708,59.0,22,82.3,1,1,21.8
2022-01-08,T06,Stockton,West,5,125,471,85.6,13,83.9,1,1,23.2
2022-01-08,T07,Amarillo,South,7,207,387,64.5,9,88.9,1,1,15.9
2022-01-08,T08,Havre,North,3,53,285,71.2,5,87.6,1,1,16.2
2022-01-09,T01,Barstow,West,7,136,250,27.8,14,91.2,1,1,14.5
2022-01-09,T02,Alliance,Midwest,12,336,298,27.1,19,89.1,1,1,21.8
2022-01-09,T03,Galesburg,Midwest,10,260,290,38.7,9,87.8,1,1,14.5
2022-01-09,T04,Memphis,South,5,140,771,81.2,15,91.8,1,1,25.9
2022-01-09,T05,Kansas City,Midwest,13,334,826,68.8,22,95.1,1,1,17.3
2022-01-09,T06,Stockton,West,11,205,539,98.0,8,84.2,1,1,19.0
2022-01-09,T07,Amarillo,South,8,120,320,53.3,12,87.1,1,1,17.2
2022-01-09,T08,Havre,North,7,146,373,93.2,13,85.0,1,1,18.3
2022-01-10,T01,Barstow,West,6,145,221,24.6,25,91.6,0,1,16.0
2022-01-10,T02,Alliance,Midwest,18,416,321,29.2,20,92.2,0,1,17.0
2022-01-10,T03,Galesburg,Midwest,8,190,182,24.3,17,90.7,0,1,18.8
2022-01-10,T04,Memphis,South,16,417,931,98.0,19,84.6,0,1,28.4
2022-01-10,T05,Kansas City,Midwest,12,213,721,60.1,23,85.0,0,1,14.1
2022-01-10,T06,Stockton,West,9,203,539,98.0,13,89.3,0,1,19.0
2022-01-10,T07,Amarillo,South,5,77,255,42.5,18,94.2,0,1,10.5
2022-01-10,T08,Havre,North,7,163,392,98.0,10,89.3,0,1,17.5
2022-01-11,T01,Barstow,West,12,262,289,32.1,22,95.2,0,1,23.8
2022-01-11,T02,Alliance,Midwest,11,270,112,10.2,26,91.0,0,1,23.9
2022-01-11,T03,Galesburg,Midwest,5,119,82,10.9,17,87.9,0,1,24.3
2022-01-11,T04,Memphis,South,18,427,931,98.0,20,86.8,0,1,20.9
2022-01-11,T05,Kansas City,Midwest,8,174,677,56.4,22,95.6,0,1,16.7
2022-01-11,T06,Stockton,West,8,187,539,98.0,14,90.4,0,1,17.4
2022-01-11,T07,Amarillo,South,6,117,273,45.5,15,85.2,0,1,15.7
2022-01-11,T08,Havre,North,5,116,383,95.8,7,84.8,0,1,18.7
2022-01-12,T01,Barstow,West,11,303,287,31.9,16,86.0,0,1,18.8
2022-01-12,T02,Alliance,Midwest,11,295,110,10.0,24,93.5,0,1,15.0
2022-01-12,T03,Galesburg,Midwest,12,272,184,24.5,11,85.8,0,1,16.5
2022-01-12,T04,Memphis,South,11,238,791,83.3,22,88.3,0,1,18.6
2022-01-12,T05,Kansas City,Midwest,12,256,755,62.9,24,86.1,0,1,19.5
2022-01-12,T06,Stockton,West,7,169,539,98.0,13,98.3,0,1,14.5
2022-01-12,T07,Amarillo,South,6,130,279,46.5,13,87.5,0,1,14.8
2022-01-12,T08,Havre,North,6,131,392,98.0,8,84.6,0,1,15.7
2022-01-13,T01,Barstow,West,12,292,227,25.2,17,87.5,0,1,16.8
2022-01-13,T02,Alliance,Midwest,16,407,140,12.7,28,89.5,0,1,16.1
2022-01-13,T03,Galesburg,Midwest,4,92,75,10.0,15,89.9,0,1,14.5
2022-01-13,T04,Memphis,South,9,217,819,86.2,18,80.8,0,1,14.0
2022-01-13,T05,Kansas City,Midwest,15,316,803,66.9,23,87.0,0,1,21.4
2022-01-13,T06,Stockton,West,10,174,539,98.0,15,88.4,0,1,17.0
2022-01-13,T07,Amarillo,South,3,77,222,37.0,15,85.7,0,1,12.6
2022-01-13,T08,Havre,North,5,81,369,92.2,8,89.8,0,1,20.9
2022-01-14,T01,Barstow,West,11,297,192,21.3,23,82.8,0,1,16.5
2022-01-14,T02,Alliance,Midwest,15,310,110,10.0,26,89.0,0,1,18.1
2022-01-14,T03,Galesburg,Midwest,2,34,75,10.0,15,96.7,0,1,27.0
2022-01-14,T04,Memphis,South,8,212,852,89.7,23,85.6,0,1,23.1
2022-01-14,T05,Kansas City,Midwest,17,328,816,68.0,15,82.9,0,1,23.6
2022-01-14,T06,Stockton,West,9,219,539,98.0,16,89.5,0,1,20.2
2022-01-14,T07,Amarillo,South,5,106,221,36.8,19,88.4,0,1,14.6
2022-01-14,T08,Havre,North,5,111,392,98.0,4,89.4,0,1,20.9
2022-01-15,T01,Barstow,West,6,126,90,10.0,16,89.0,1,1,19.6
2022-01-15,T02,Alliance,Midwest,11,271,110,10.0,14,92.8,1,1,17.6
2022-01-15,T03,Galesburg,Midwest,11,310,289,38.5,11,90.6,1,1,18.6
2022-01-15,T04,Memphis,South,11,262,931,98.0,18,97.5,1,1,25.3
2022-01-15,T05,Kansas City,Midwest,15,307,814,67.8,10,93.4,1,1,13.6
2022-01-15,T06,Stockton,West,9,191,539,98.0,10,86.5,1,1,16.8
2022-01-15,T07,Amarillo,South,4,79,171,28.5,12,95.3,1,1,21.6
2022-01-15,T08,Havre,North,7,124,392,98.0,8,90.2,1,1,24.0
2022-01-16,T01,Barstow,West,9,212,107,11.9,10,82.8,1,1,18.3
2022-01-16,T02,Alliance,Midwest,11,313,110,10.0,20,98.0,1,1,15.4
2022-01-16,T03,Galesburg,Midwest,4,109,75,10.0,11,88.1,1,1,18.2
2022-01-16,T04,Memphis,South,11,250,931,98.0,13,88.2,1,1,27.2
2022-01-16,T05,Kansas City,Midwest,9,174,693,57.8,24,94.0,1,1,18.0
2022-01-16,T06,Stockton,West,8,164,539,98.0,13,93.5,1,1,19.3
2022-01-16,T07,Amarillo,South,12,256,316,52.7,11,87.9,1,1,16.7
2022-01-16,T08,Havre,North,8,187,392,98.0,5,87.0,1,1,16.0
2022-01-17,T01,Barstow,West,10,204,90,10.0,19,91.8,0,1,17.3
2022-01-17,T02,Alliance,Midwest,8,162,110,10.0,21,88.4,0,1,16.7
2022-01-17,T03,Galesburg,Midwest,13,242,146,19.5,16,91.7,0,1,25.2
2022-01-17,T04,Memphis,South,18,378,931,98.0,19,87.9,0,1,28.6
2022-01-17,T05,Kansas City,Midwest,13,327,830,69.2,23,85.5,0,1,19.4
2022-01-17,T06,Stockton,West,9,160,539,98.0,13,84.2,0,1,24.7
2022-01-17,T07,Amarillo,South,8,170,218,36.3,15,81.5,0,1,16.1
2022-01-17,T08,Havre,North,6,137,386,96.5,12,83.7,0,1,16.8
2022-01-18,T01,Barstow,West,11,243,90,10.0,23,90.1,0,1,21.8
2022-01-18,T02,Alliance,Midwest,9,263,128,11.6,26,91.7,0,1,17.6
2022-01-18,T03,Galesburg,Midwest,10,263,125,16.7,8,88.0,0,1,17.7
2022-01-18,T04,Memphis,South,11,339,931,98.0,16,87.6,0,1,21.1
2022-01-18,T05,Kansas City,Midwest,12,286,812,67.7,16,88.2,0,1,16.7
2022-01-18,T06,Stockton,West,12,350,539,98.0,11,84.5,0,1,14.1
2022-01-18,T07,Amarillo,South,6,159,183,30.5,12,87.1,0,1,17.5
2022-01-18,T08,Havre,North,8,160,392,98.0,9,85.8,0,1,18.7
2022-01-19,T01,Barstow,West,13,293,90,10.0,17,86.8,0,1,18.1
2022-01-19,T02,Alliance,Midwest,14,336,121,11.0,22,87.8,0,1,13.6
2022-01-19,T03,Galesburg,Midwest,6,142,75,10.0,18,90.7,0,1,27.9
2022-01-19,T04,Memphis,South,10,204,838,88.2,23,87.3,0,1,22.5
2022-01-19,T05,Kansas City,Midwest,10,236,783,65.2,27,91.6,0,1,17.7
2022-01-19,T06,Stockton,West,6,133,353,64.2,14,89.4,0,1,14.3
2022-01-19,T07,Amarillo,South,9,228,245,40.8,16,88.6,0,1,14.3
2022-01-19,T08,Havre,North,14,247,392,98.0,12,85.5,0,1,17.1
2022-01-20,T01,Barstow,West,9,190,90,10.0,20,88.6,0,1,19.1
2022-01-20,T02,Alliance,Midwest,15,323,110,10.0,24,90.0,0,1,17.5
2022-01-20,T03,Galesburg,Midwest,6,138,75,10.0,17,90.4,0,1,25.5
2022-01-20,T04,Memphis,South,12,242,919,96.7,26,88.7,0,1,21.4
2022-01-20,T05,Kansas City,Midwest,16,270,813,67.8,28,86.7,0,1,16.8
2022-01-20,T06,Stockton,West,6,139,364,66.2,15,90.2,0,1,17.0
2022-01-20,T07,Amarillo,South,4,82,85,14.2,11,90.9,0,1,11.2
2022-01-20,T08,Havre,North,8,201,390,97.5,12,91.3,0,1,15.7
2022-01-21,T01,Barstow,West,12,236,90,10.0,18,91.5,0,1,16.6
2022-01-21,T02,Alliance,Midwest,13,262,110,10.0,22,88.7,0,1,15.0
2022-01-21,T03,Galesburg,Midwest,14,352,247,32.9,15,78.5,0,1,20.9
2022-01-21,T04,Memphis,South,14,330,931,98.0,22,86.1,0,1,29.1
2022-01-21,T05,Kansas City,Midwest,13,371,922,76.8,28,93.2,0,1,17.8
2022-01-21,T06,Stockton,West,9,174,396,72.0,13,91.4,0,1,16.3
2022-01-21,T07,Amarillo,South,2,42,60,10.0,17,89.7,0,1,12.2
2022-01-21,T08,Havre,North,6,135,362,90.5,10,90.5,0,1,17.4
2022-01-22,T01,Barstow,West,10,191,90,10.0,20,84.4,1,1,19.1
2022-01-22,T02,Alliance,Midwest,3,67,110,10.0,15,81.7,1,1,14.7
2022-01-22,T03,Galesburg,Midwest,7,129,75,10.0,13,77.3,1,1,23.9
2022-01-22,T04,Memphis,South,12,270,928,97.7,13,79.2,1,1,15.5
2022-01-22,T05,Kansas City,Midwest,12,257,827,68.9,26,88.3,1,1,20.3
2022-01-22,T06,Stockton,West,5,90,318,57.8,10,88.3,1,1,21.2
2022-01-22,T07,Amarillo,South,3,50,60,10.0,10,93.3,1,1,13.2
2022-01-22,T08,Havre,North,3,57,301,75.2,6,90.3,1,1,21.8
2022-01-23,T01,Barstow,West,9,147,90,10.0,14,90.2,1,1,22.4
2022-01-23,T02,Alliance,Midwest,5,85,110,10.0,21,89.4,1,1,13.6
2022-01-23,T03,Galesburg,Midwest,8,189,78,10.4,9,89.7,1,1,27.1
2022-01-23,T04,Memphis,South,6,157,874,92.0,22,92.6,1,1,18.7
2022-01-23,T05,Kansas City,Midwest,14,391,974,81.2,24,85.5,1,1,23.1
2022-01-23,T06,Stockton,West,7,175,391,71.1,6,91.3,1,1,17.3
2022-01-23,T07,Amarillo,South,3,72,60,10.0,10,92.3,1,1,11.1
2022-01-23,T08,Havre,North,6,157,392,98.0,8,89.9,1,1,17.7
2022-01-24,T01,Barstow,West,10,202,90,10.0,7,91.6,0,1,23.1
2022-01-24,T02,Alliance,Midwest,11,238,178,16.2,26,92.8,0,1,14.0
2022-01-24,T03,Galesburg,Midwest,15,358,198,26.4,12,83.5,0,1,21.1
2022-01-24,T04,Memphis,South,10,262,931,98.0,18,94.8,0,1,20.8
2022-01-24,T05,Kansas City,Midwest,17,424,1048,87.3,19,80.9,0,1,16.9
2022-01-24,T06,Stockton,West,9,166,375,68.2,12,82.2,0,1,15.7
2022-01-24,T07,Amarillo,South,5,110,60,10.0,18,88.7,0,1,14.4
2022-01-24,T08,Havre,North,7,153,392,98.0,7,92.5,0,1,18.9
2022-01-25,T01,Barstow,West,11,277,113,12.6,17,80.9,0,1,16.9
2022-01-25,T02,Alliance,Midwest,7,154,110,10.0,29,86.5,0,1,15.1
2022-01-25,T03,Galesburg,Midwest,10,239,75,10.0,16,81.7,0,1,22.2
2022-01-25,T04,Memphis,South,13,253,931,98.0,19,83.8,0,1,16.1
2022-01-25,T05,Kansas City,Midwest,15,330,1016,84.7,27,82.9,0,1,27.3
2022-01-25,T06,Stockton,West,5,132,345,62.7,9,89.4,0,1,25.9
2022-01-25,T07,Amarillo,South,9,210,103,17.2,15,88.8,0,1,12.0
2022-01-25,T08,Havre,North,7,138,392,98.0,8,82.6,0,1,12.6
2022-01-26,T01,Barstow,West,5,93,90,10.0,19,92.7,0,1,18.9
2022-01-26,T02,Alliance,Midwest,12,236,119,10.8,22,92.5,0,1,15.1
2022-01-26,T03,Galesburg,Midwest,15,293,77,10.3,15,84.3,0,1,17.6
2022-01-26,T04,Memphis,South,7,146,881,92.7,28,87.9,0,1,19.7
2022-01-26,T05,Kansas City,Midwest,18,518,1176,98.0,18,88.8,0,1,20.8
2022-01-26,T06,Stockton,West,17,474,539,98.0,16,75.2,0,1,15.2
2022-01-26,T07,Amarillo,South,8,193,60,10.0,18,87.5,0,1,15.3
2022-01-26,T08,Havre,North,2,50,328,82.0,12,89.9,0,1,18.2
2022-01-27,T01,Barstow,West,9,173,108,12.0,14,82.5,0,1,18.4
2022-01-27,T02,Alliance,Midwest,18,452,243,22.1,30,87.5,0,1,16.7
2022-01-27,T03,Galesburg,Midwest,13,325,75,10.0,16,90.9,0,1,19.6
2022-01-27,T04,Memphis,South,15,307,931,98.0,29,93.9,0,1,25.8
2022-01-27,T05,Kansas City,Midwest,17,414,1128,94.0,24,88.3,0,1,20.5
2022-01-27,T06,Stockton,West,8,161,250,45.5,11,87.0,0,1,17.4
2022-01-27,T07,Amarillo,South,3,81,60,10.0,11,90.0,0,1,18.0
2022-01-27,T08,Havre,North,6,144,392,98.0,10,81.1,0,1,16.2
2022-01-28,T01,Barstow,West,6,172,90,10.0,21,88.7,0,1,20.2
2022-01-28,T02,Alliance,Midwest,14,311,110,10.0,24,87.3,0,1,16.0
2022-01-28,T03,Galesburg,Midwest,11,295,75,10.0,16,89.0,0,1,19.5
2022-01-28,T04,Memphis,South,12,305,931,98.0,14,84.9,0,1,27.8
2022-01-28,T05,Kansas City,Midwest,13,286,1049,87.4,19,91.7,0,1,17.7
2022-01-28,T06,Stockton,West,8,169,253,46.0,12,97.8,0,1,18.3
2022-01-28,T07,Amarillo,South,10,211,136,22.7,9,88.6,0,1,12.7
2022-01-28,T08,Havre,North,5,117,389,97.2,10,88.3,0,1,32.0
2022-01-29,T01,Barstow,West,9,193,90,10.0,18,84.3,1,1,23.4
2022-01-29,T02,Alliance,Midwest,13,272,110,10.0,15,92.1,1,1,23.4
2022-01-29,T03,Galesburg,Midwest,7,174,75,10.0,13,92.1,1,1,19.3
2022-01-29,T04,Memphis,South,14,341,931,98.0,13,89.1,1,1,25.2
2022-01-29,T05,Kansas City,Midwest,10,215,1016,84.7,16,86.9,1,1,20.1
2022-01-29,T06,Stockton,West,8,119,199,36.2,4,89.7,1,1,12.1
2022-01-29,T07,Amarillo,South,5,112,60,10.0,12,93.4,1,1,14.3
2022-01-29,T08,Havre,North,6,134,392,98.0,4,85.9,1,1,9.2
2022-01-30,T01,Barstow,West,9,219,90,10.0,13,94.4,1,1,17.3
2022-01-30,T02,Alliance,Midwest,10,219,110,10.0,22,91.7,1,1,18.9
2022-01-30,T03,Galesburg,Midwest,9,207,79,10.5,19,90.4,1,1,23.4
2022-01-30,T04,Memphis,South,12,264,911,95.9,13,99.0,1,1,20.5
2022-01-30,T05,Kansas City,Midwest,11,283,1121,93.4,17,81.9,1,1,17.9
2022-01-30,T06,Stockton,West,3,52,116,21.1,9,87.8,1,1,14.5
2022-01-30,T07,Amarillo,South,2,54,60,10.0,9,92.1,1,1,15.3
2022-01-30,T08,Havre,North,3,55,322,80.5,10,95.1,1,1,13.6
2022-01-31,T01,Barstow,West,6,152,90,10.0,23,84.7,0,1,16.2
2022-01-31,T02,Alliance,Midwest,13,311,118,10.7,19,89.8,0,1,14.9
2022-01-31,T03,Galesburg,Midwest,11,349,160,21.3,14,83.3,0,1,20.1
2022-01-31,T04,Memphis,South,9,214,915,96.3,21,91.4,0,1,18.2
2022-01-31,T05,Kansas City,Midwest,14,295,1171,97.6,25,86.4,0,1,18.9
2022-01-31,T06,Stockton,West,5,122,142,25.8,12,90.6,0,1,13.8
2022-01-31,T07,Amarillo,South,5,109,70,11.7,7,89.4,0,1,15.0
2022-01-31,T08,Havre,North,4,74,351,87.8,10,93.9,0,1,13.4
2022-02-01,T01,Barstow,West,6,152,90,10.0,16,82.8,0,2,13.8
2022-02-01,T02,Alliance,Midwest,9,208,110,10.0,18,93.1,0,2,18.4
2022-02-01,T03,Galesburg,Midwest,9,188,75,10.0,16,91.9,0,2,24.6
2022-02-01,T04,Memphis,South,7,138,894,94.1,17,89.9,0,2,19.6
2022-02-01,T05,Kansas City,Midwest,12,258,1176,98.0,27,96.9,0,2,24.0
2022-02-01,T06,Stockton,West,3,79,63,11.5,12,89.1,0,2,16.0
2022-02-01,T07,Amarillo,South,6,132,60,10.0,14,87.4,0,2,16.1
2022-02-01,T08,Havre,North,5,102,392,98.0,10,96.8,0,2,15.2
2022-02-02,T01,Barstow,West,8,150,90,10.0,22,89.9,0,2,20.6
2022-02-02,T02,Alliance,Midwest,11,228,110,10.0,17,89.7,0,2,16.9
2022-02-02,T03,Galesburg,Midwest,14,363,196,26.1,18,89.2,0,2,25.6
2022-02-02,T04,Memphis,South,13,271,931,98.0,27,91.8,0,2,21.6
2022-02-02,T05,Kansas City,Midwest,20,418,1176,98.0,20,83.5,0,2,22.2
2022-02-02,T06,Stockton,West,9,181,116,21.1,11,83.1,0,2,14.9
2022-02-02,T07,Amarillo,South,6,181,60,10.0,13,90.9,0,2,12.8
2022-02-02,T08,Havre,North,5,79,384,96.0,9,88.0,0,2,24.7
2022-02-03,T01,Barstow,West,13,294,175,19.4,14,86.2,0,2,18.9
2022-02-03,T02,Alliance,Midwest,12,279,110,10.0,17,81.8,0,2,13.2
2022-02-03,T03,Galesburg,Midwest,12,292,78,10.4,15,87.2,0,2,20.6
2022-02-03,T04,Memphis,South,10,192,890,93.7,22,92.2,0,2,24.1
2022-02-03,T05,Kansas City,Midwest,14,286,1122,93.5,19,88.3,0,2,20.6
2022-02-03,T06,Stockton,West,5,103,55,10.0,11,81.5,0,2,17.3
2022-02-03,T07,Amarillo,South,5,110,60,10.0,17,90.6,0,2,15.1
2022-02-03,T08,Havre,North,6,135,392,98.0,2,88.9,0,2,11.5
2022-02-04,T01,Barstow,West,8,148,90,10.0,18,83.4,0,2,25.9
2022-02-04,T02,Alliance,Midwest,13,295,110,10.0,31,86.7,0,2,16.7
2022-02-04,T03,Galesburg,Midwest,13,386,99,13.2,22,86.8,0,2,19.1
2022-02-04,T04,Memphis,South,9,212,931,98.0,13,86.2,0,2,22.0
2022-02-04,T05,Kansas City,Midwest,15,309,1176,98.0,32,78.6,0,2,17.0
2022-02-04,T06,Stockton,West,9,160,65,11.8,11,87.9,0,2,17.2
2022-02-04,T07,Amarillo,South,6,165,70,11.7,11,88.1,0,2,17.5
2022-02-04,T08,Havre,North,1,21,314,78.5,12,90.3,0,2,16.3
2022-02-05,T01,Barstow,West,11,337,214,23.8,17,89.5,1,2,22.4
2022-02-05,T02,Alliance,Midwest,11,214,110,10.0,14,81.8,1,2,21.3
2022-02-05,T03,Galesburg,Midwest,4,99,75,10.0,8,93.0,1,2,23.5
2022-02-05,T04,Memphis,South,8,188,931,98.0,13,82.2,1,2,28.6
2022-02-05,T05,Kansas City,Midwest,9,252,1176,98.0,27,86.7,1,2,19.1
2022-02-05,T06,Stockton,West,6,115,55,10.0,6,87.9,1,2,15.4
2022-02-05,T07,Amarillo,South,6,123,60,10.0,4,87.9,1,2,15.5
2022-02-05,T08,Havre,North,5,109,392,98.0,9,93.7,1,2,19.7
2022-02-06,T01,Barstow,West,15,278,114,12.7,13,80.1,1,2,18.9
2022-02-06,T02,Alliance,Midwest,13,286,110,10.0,11,90.9,1,2,21.4
2022-02-06,T03,Galesburg,Midwest,9,229,147,19.6,12,85.4,1,2,22.0
2022-02-06,T04,Memphis,South,12,241,931,98.0,12,91.0,1,2,25.1
2022-02-06,T05,Kansas City,Midwest,11,283,1176,98.0,19,86.8,1,2,21.4
2022-02-06,T06,Stockton,West,6,159,65,11.8,8,86.9,1,2,16.3
2022-02-06,T07,Amarillo,South,6,125,60,10.0,12,89.4,1,2,14.0
2022-02-06,T08,Havre,North,3,79,383,95.8,4,89.1,1,2,21.6
2022-02-07,T01,Barstow,West,7,141,90,10.0,13,85.3,0,2,14.0
2022-02-07,T02,Alliance,Midwest,15,369,110,10.0,15,91.1,0,2,16.5
2022-02-07,T03,Galesburg,Midwest,10,252,105,14.0,15,92.4,0,2,14.5
2022-02-07,T04,Memphis,South,17,414,931,98.0,22,89.8,0,2,38.2
2022-02-07,T05,Kansas City,Midwest,10,234,1176,98.0,19,90.3,0,2,24.4
2022-02-07,T06,Stockton,West,5,117,55,10.0,6,92.0,0,2,12.5
2022-02-07,T07,Amarillo,South,9,146,60,10.0,10,86.1,0,2,18.5
2022-02-07,T08,Havre,North,5,91,392,98.0,4,85.1,0,2,11.6
2022-02-08,T01,Barstow,West,7,141,90,10.0,28,87.2,0,2,18.3
2022-02-08,T02,Alliance,Midwest,15,369,110,10.0,26,91.3,0,2,10.4
2022-02-08,T03,Galesburg,Midwest,9,184,75,10.0,18,91.1,0,2,22.0
2022-02-08,T04,Memphis,South,13,341,904,95.2,14,86.4,0,2,23.2
2022-02-08,T05,Kansas City,Midwest,14,294,1176,98.0,18,87.1,0,2,17.8
2022-02-08,T06,Stockton,West,7,120,55,10.0,13,94.2,0,2,10.4
2022-02-08,T07,Amarillo,South,7,168,60,10.0,8,82.7,0,2,14.6
2022-02-08,T08,Havre,North,3,66,392,98.0,14,82.7,0,2,14.5
2022-02-09,T01,Barstow,West,11,207,104,11.6,20,92.0,0,2,19.3
2022-02-09,T02,Alliance,Midwest,6,133,110,10.0,25,91.7,0,2,15.2
2022-02-09,T03,Galesburg,Midwest,6,126,75,10.0,10,89.6,0,2,15.7
2022-02-09,T04,Memphis,South,14,280,888,93.5,23,94.8,0,2,20.5
2022-02-09,T05,Kansas City,Midwest,14,294,1176,98.0,28,82.3,0,2,20.4
2022-02-09,T06,Stockton,West,7,169,67,12.2,16,90.8,0,2,12.1
2022-02-09,T07,Amarillo,South,2,49,60,10.0,7,96.6,0,2,18.9
2022-02-09,T08,Havre,North,4,73,392,98.0,11,94.4,0,2,19.0
2022-02-10,T01,Barstow,West,6,164,90,10.0,18,94.4,0,2,22.0
2022-02-10,T02,Alliance,Midwest,11,274,155,14.1,28,92.3,0,2,18.3
2022-02-10,T03,Galesburg,Midwest,3,68,75,10.0,13,96.3,0,2,23.1
2022-02-10,T04,Memphis,South,14,309,931,98.0,23,93.7,0,2,33.7
2022-02-10,T05,Kansas City,Midwest,16,345,1176,98.0,23,85.3,0,2,24.7
